desc,number,voltage,source,srcBreak,srcName,mounting,siteNo,siteName,_predicate,geometry,latlon,lon,lat,size
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,180017,AXBRIDGE,INTERSECTS,POINT (343193.393 154352.764),"(-2.8159420260568817, 51.28545833042041)",-2.8159420260568817,51.28545833042041,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,180017,AXBRIDGE,INTERSECTS,POINT (343188.357 154362.054),"(-2.816015307340484, 51.285547739500515)",-2.816015307340484,51.285547739500515,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (358632.33900000004 171581.81),"(-2.5965870380467506, 51.44170128795978)",-2.5965870380467506,51.44170128795978,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (358627.771 171586.084),"(-2.5966595592271196, 51.441745877054174)",-2.5966595592271196,51.441745877054174,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (358633.913 171575.978),"(-2.5965719478530547, 51.441647414807875)",-2.5965719478530547,51.441647414807875,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,182150,ROYAL PORTBURY DOCK,INTERSECTS,POINT (349884.49700000003 177077.352),"(-2.7232232658749624, 51.490406456681406)",-2.7232232658749624,51.490406456681406,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,182150,ROYAL PORTBURY DOCK,INTERSECTS,POINT (349885.571 177077.701),"(-2.7232088638936767, 51.490406545521175)",-2.7232088638936767,51.490406545521175,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113371,BOWER ASHTON 33/11KV S/STN,INTERSECTS,POINT (356524.199 171455.91),"(-2.626899230857247, 51.44041010355729)",-2.626899230857247,51.44041010355729,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113371,BOWER ASHTON 33/11KV S/STN,INTERSECTS,POINT (356522.99700000003 171455.912),"(-2.6269280039310163, 51.440409949633334)",-2.6269280039310163,51.440409949633334,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113371,BOWER ASHTON 33/11KV S/STN,INTERSECTS,POINT (356524.499 171456.16),"(-2.6268993540014183, 51.44041909457387)",-2.6268993540014183,51.44041909457387,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113339,KINGSWESTON 33/11KV S/STN,INTERSECTS,POINT (352627.976 179368.641),"(-2.68402677669195, 51.51124146446405)",-2.68402677669195,51.51124146446405,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113339,KINGSWESTON 33/11KV S/STN,INTERSECTS,POINT (352624.103 179355.75),"(-2.684068251481221, 51.51112433184151)",-2.684068251481221,51.51112433184151,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,114389,COTHAM PRIMARY,INTERSECTS,POINT (358395.367 173632.81100000002),"(-2.600238635463208, 51.46012451422741)",-2.600238635463208,51.46012451422741,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,114389,COTHAM PRIMARY,INTERSECTS,POINT (358390.503 173637.509),"(-2.600311189526871, 51.460169100815925)",-2.600311189526871,51.460169100815925,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (357526.97500000003 173112.864),"(-2.612683335114291, 51.45538446707647)",-2.612683335114291,51.45538446707647,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (357536.425 173125.503),"(-2.612540987353745, 51.455502102532286)",-2.612540987353745,51.455502102532286,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (357535.76900000003 173104.102),"(-2.612552850438865, 51.455313215943505)",-2.612552850438865,51.455313215943505,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (346852.166 176479.517),"(-2.766799504233088, 51.48475253943345)",-2.766799504233088,51.48475253943345,10
